,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
3367,100.000000,37,2001,171.354260,120.000,73,95.201681,-0.656700,1.098900,9.417000,5119,195607228
3368,100.000000,37,2001,171.354260,120.000,73,95.201681,-0.320200,0.000000,8.071700,5119,195607228
3369,100.000000,37,2001,171.122727,119.000,73,95.119658,-0.895600,-0.362300,8.181800,5107,192263229
3370,100.000000,37,2001,171.122727,119.000,73,95.119658,-1.222200,0.363600,8.181800,5107,192263229
3371,100.000000,37,2001,175.315789,120.000,68,95.198113,-2.534000,0.000000,5.882400,4876,178661516
3372,100.000000,60,2001,262.176471,109.500,13,90.529412,,,8.823500,624,5562336
3373,100.000000,60,2001,262.176471,109.500,13,90.529412,0.691500,0.380200,8.823500,624,5562336
3374,100.000000,60,380,167.464286,109.000,10,91.250000,-13.203400,-13.636400,10.714300,524,2457036
3375,100.000000,60,380,166.689655,109.000,11,91.307692,4.064100,5.701800,10.344800,524,2533016
3376,100.000000,60,380,149.973684,109.500,13,90.136364,26.027000,28.630700,7.894700,764,4354036
3377,100.000000,60,380,157.393939,109.000,13,90.529412,-12.293100,-11.935500,9.090900,644,3344936
3378,100.000000,60,380,157.393939,109.000,13,90.529412,-0.780900,0.000000,9.090900,644,3344936
3379,100.000000,60,380,157.393939,109.000,13,90.529412,-0.656700,1.098900,9.090900,644,3344936
3380,100.000000,60,380,157.393939,109.000,13,90.529412,-0.320200,0.000000,9.090900,644,3344936
3381,100.000000,60,380,157.393939,109.000,13,90.529412,-0.895600,-0.362300,9.090900,644,3344936
3382,100.000000,60,380,157.393939,109.000,13,90.529412,-1.222200,0.363600,9.090900,644,3344936
3383,100.000000,60,380,157.781250,109.000,11,90.437500,-2.534000,0.000000,20.689700,644,3251556
3384,100.000000,99,260,148.315789,149.000,7,86.000000,,,15.789500,363,1022934
3385,100.000000,99,260,148.315789,149.000,7,86.000000,0.691500,0.380200,15.789500,363,1022934
3386,100.000000,99,201,129.933333,100.000,5,86.000000,-13.203400,-13.636400,20.000000,244,475556
3387,100.000000,99,201,129.933333,100.000,5,86.000000,4.064100,5.701800,20.000000,244,475556
3388,100.000000,99,260,160.304348,150.000,7,86.000000,26.027000,28.630700,13.043500,482,1777134
3389,100.000000,99,260,148.315789,149.000,7,86.000000,-12.293100,-11.935500,15.789500,363,1022934
3390,100.000000,99,260,148.315789,149.000,7,86.000000,-0.780900,0.000000,15.789500,363,1022934
3391,100.000000,99,260,148.315789,149.000,7,86.000000,-0.656700,1.098900,15.789500,363,1022934
3392,100.000000,99,260,157.375000,150.000,6,95.750000,-0.320200,0.000000,18.750000,361,908998
3393,100.000000,99,260,157.375000,150.000,6,95.750000,-0.895600,-0.362300,18.750000,361,908998
3394,100.000000,45,46,45.333333,45.000,1,94.000000,,,100.000000,89,12104
3395,100.000000,45,46,45.333333,45.000,1,94.000000,0.691500,0.380200,100.000000,89,12104
3396,100.000000,45,46,45.333333,45.000,1,94.000000,-13.203400,-13.636400,100.000000,89,12104
3397,100.000000,45,46,45.333333,45.000,1,94.000000,4.064100,5.701800,100.000000,89,12104
3398,100.000000,45,46,45.333333,45.000,1,94.000000,26.027000,28.630700,100.000000,89,12104
3399,100.000000,45,46,45.333333,45.000,1,94.000000,-12.293100,-11.935500,100.000000,89,12104
3400,100.000000,45,46,45.333333,45.000,1,94.000000,-0.780900,0.000000,100.000000,89,12104
3401,100.000000,45,46,45.333333,45.000,1,94.000000,-0.656700,1.098900,100.000000,89,12104
3402,100.000000,45,46,45.333333,45.000,1,94.000000,-0.320200,0.000000,100.000000,89,12104
3403,100.000000,45,46,45.333333,45.000,1,94.000000,-0.895600,-0.362300,100.000000,89,12104
3404,100.000000,45,46,45.333333,45.000,1,94.000000,-1.222200,0.363600,100.000000,89,12104
3405,100.000000,45,46,45.333333,45.000,1,94.000000,-2.534000,0.000000,100.000000,89,12104
3406,100.000000,14,586,49.804162,35.000,221,90.226950,,,1.346400,15797,642779930
3407,100.000000,14,586,50.564198,35.000,224,90.436620,0.691500,0.380200,1.358000,15818,647857826
3408,100.000000,14,501,50.636107,37.000,199,90.020921,-13.203400,-13.636400,2.538800,14220,510512220
3409,100.000000,14,586,54.968468,40.000,201,90.740385,4.064100,5.701800,3.453500,14105,516369945
3410,100.000000,14,586,54.001287,38.000,216,90.930233,26.027000,28.630700,3.732300,16767,703526553
3411,100.000000,14,586,53.874640,39.000,212,90.963470,-12.293100,-11.935500,2.017300,15255,570369195
3412,100.000000,14,586,53.848921,39.000,213,90.963470,-0.780900,0.000000,2.014400,15255,570918375
3413,100.000000,14,586,54.109489,39.000,207,90.783019,-0.656700,1.098900,1.751800,15115,560237475
3414,100.000000,14,586,54.275405,39.000,205,90.679426,-0.320200,0.000000,2.209100,15022,553605766
3415,100.000000,20,7654,84.347166,70.000,1399,92.067255,,,14.680300,150058,97597873258
3416,100.000000,20,7654,84.358981,70.000,1389,92.047851,0.691500,0.380200,14.677400,149829,97740648492
3417,100.000000,20,7654,84.980034,70.000,1271,92.261910,-13.203400,-13.636400,16.571600,132489,78947545320
3418,100.000000,20,7654,85.478311,70.000,1267,92.335847,4.064100,5.701800,16.183900,131076,77745632184
3419,100.000000,20,7654,84.582776,70.000,1351,92.073220,26.027000,28.630700,14.827900,158977,106645905002
3420,100.000000,20,7654,85.196643,70.000,1330,92.149856,-12.293100,-11.935500,14.332100,139903,84495675977
3421,100.000000,20,7654,84.900058,70.000,1320,92.261148,-0.780900,0.000000,14.402100,136817,79846811651
3422,100.000000,20,7654,84.988362,70.000,1286,92.310781,-0.656700,1.098900,14.359100,132262,74368674146
3423,100.000000,20,7654,85.066095,70.000,1273,92.268462,-0.320200,0.000000,13.739300,130789,72717637688
3424,100.000000,20,7654,85.407482,70.000,1251,92.278568,-0.895600,-0.362300,13.755500,128827,70582896203
