,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
267,99.900100,21,3586,151.542114,100.000,278,93.763968,-2.534000,0.000000,7.102400,86489,52440010480
268,99.823700,12,1000,95.538348,70.000,449,90.811290,,,12.285100,110562,71753853504
269,99.825000,12,1000,95.729106,70.000,443,90.790648,0.691500,0.380200,12.179100,111384,72975455280
270,99.839500,12,2157,96.226812,70.000,409,90.907121,-13.203400,-13.636400,12.662500,97477,58352364079
271,99.807100,12,1000,95.367107,70.000,392,90.762447,4.064100,5.701800,12.556300,95317,56431381363
272,99.812000,12,2261,95.372174,70.000,430,90.908770,26.027000,28.630700,12.960000,123790,87743094740
273,99.824100,12,2261,95.389925,70.000,429,90.914094,-12.293100,-11.935500,12.901300,110083,71500009330
274,99.821900,12,2261,96.149993,70.000,427,91.074290,-0.780900,0.000000,13.177000,109097,70564048697
275,99.821600,12,2261,96.754020,70.000,422,91.057589,-0.656700,1.098900,13.020200,108918,70774916400
276,99.820400,12,2261,97.014543,70.000,419,91.051129,-0.320200,0.000000,10.924900,107856,69792215472
277,99.819800,12,2261,96.873157,70.000,420,91.009241,-0.895600,-0.362300,10.859100,107461,69185433559
278,99.817800,12,2261,97.210254,70.000,417,90.970952,-1.222200,0.363600,11.102700,105862,67641901106
279,99.813100,12,2261,95.159307,70.000,401,91.100394,-2.534000,0.000000,10.905600,104156,63522244656
280,99.880800,14,15000,182.076158,90.000,366,91.627945,,,15.352500,100999,92480845339
281,99.881000,14,15000,181.239921,90.000,360,91.567030,0.691500,0.380200,15.195400,101289,92430567927
282,99.857300,14,15000,165.287619,85.000,304,91.684649,-13.203400,-13.636400,15.097500,82743,57440852544
283,99.860700,21,9999,177.287308,75.000,234,92.618574,26.027000,28.630700,17.075200,57260,36393024500
284,99.882400,21,9999,181.980565,75.000,226,92.539228,-12.293100,-11.935500,17.882400,54156,33468732936
285,99.881200,21,9999,198.187277,75.000,223,92.588855,-0.780900,0.000000,17.428700,53799,35867900898
286,99.878500,21,8224,188.095195,75.000,218,92.536970,-0.656700,1.098900,17.162800,52813,32662569541
287,99.878200,21,8224,190.040536,75.000,216,92.534585,-0.320200,0.000000,16.073100,52753,32892708819
288,99.877200,21,8224,191.282422,75.000,214,92.530659,-0.895600,-0.362300,16.513200,52410,32621713530
289,99.875700,21,8224,192.291848,75.000,211,92.508617,-1.222200,0.363600,16.250800,51785,32004476410
290,99.872000,21,8224,193.699679,73.000,202,92.381298,-2.534000,0.000000,17.033100,50577,30565855911
291,99.951100,4,10000,239.550383,150.000,1896,94.013762,,,9.153400,1328684,16901981889296
292,99.951300,4,10000,239.616094,150.000,1877,94.034373,0.691500,0.380200,9.002800,1331954,17022590560456
293,99.944400,14,10000,238.847421,150.000,1663,93.971035,-13.203400,-13.636400,9.500600,1110630,11916243586950
294,99.946700,14,10000,240.708865,150.000,1684,94.005447,4.064100,5.701800,9.952600,1138468,12840935403648
295,99.956400,4,10000,241.048300,150.000,1836,94.114980,26.027000,28.630700,9.211700,1554448,23179883497008
296,99.951100,4,10000,239.580917,150.000,1826,94.081945,-12.293100,-11.935500,9.030000,1330569,16928436869145
297,99.950900,4,10000,239.539328,150.000,1825,94.073213,-0.780900,0.000000,8.951200,1327746,16837428508152
298,99.949000,4,10000,240.522024,150.000,1853,94.115574,-0.656700,1.098900,8.964200,1332369,16943897789649
299,99.948800,4,10000,241.439375,150.000,1836,94.094891,-0.320200,0.000000,7.949600,1327848,16885086460392
300,99.950300,4,10000,241.216690,150.000,1818,94.070650,-0.895600,-0.362300,7.870900,1319468,16644650756624
301,99.947700,4,10000,240.771370,150.000,1812,94.101964,-1.222200,0.363600,7.708700,1305446,16230547456592
302,99.946500,4,10000,241.232254,150.000,1765,94.042383,-2.534000,0.000000,7.268200,1281237,15596577437694
303,99.942300,24,14568,217.338849,120.000,355,92.172424,,,9.192300,103381,116769873310
304,99.943500,19,14568,213.974557,119.000,355,92.092907,0.691500,0.380200,8.871700,104110,118201184390
305,99.411200,18,2228,94.045081,64.000,211,91.260349,-0.895600,-0.362300,12.659500,41381,11826813943
306,99.404800,18,2228,94.584830,64.000,212,91.351292,-1.222200,0.363600,12.863800,40929,11637015138
307,99.390000,18,2228,95.926355,64.000,202,91.540787,-2.534000,0.000000,11.220900,40092,11279964384
308,100.000000,14,2711,108.267843,68.000,163,89.681994,,,8.135100,46457,13107656722
309,100.000000,14,2711,106.138857,67.000,160,89.678670,0.691500,0.380200,8.093600,46306,12813055424
310,100.000000,14,2711,107.812209,69.000,145,89.547767,-13.203400,-13.636400,8.563000,40769,10368739001
311,100.000000,14,2711,109.951356,70.000,146,89.708455,4.064100,5.701800,8.492800,41745,11511517710
312,100.000000,14,2711,108.659091,70.000,153,90.045794,26.027000,28.630700,7.641600,53502,17649721278
313,100.000000,14,2711,105.500552,70.000,158,89.741782,-12.293100,-11.935500,6.956200,46933,13453109785
314,100.000000,14,2711,105.282279,70.000,160,89.984550,-0.780900,0.000000,7.658200,46683,13284954774
315,100.000000,14,2711,105.534211,70.000,157,90.039914,-0.656700,1.098900,7.969900,45783,12852249543
316,100.000000,14,2711,105.191232,70.000,155,90.121328,-0.320200,0.000000,9.788400,45460,12653154560
317,100.000000,16,2711,107.356709,70.000,152,90.792215,-0.895600,-0.362300,10.417500,45068,11936214732
318,100.000000,16,2711,108.421836,70.000,150,90.781649,-1.222200,0.363600,10.670000,44421,11645587044
319,100.000000,16,2711,109.955153,70.000,147,90.660736,-2.534000,0.000000,14.761300,43020,10969497720
320,100.000000,35,472,114.323471,95.000,41,94.283626,,,23.668600,8332,482939384
321,100.000000,31,472,111.933712,89.000,41,94.381868,0.691500,0.380200,22.727300,8499,502299399
322,100.000000,31,2157,127.270876,89.000,40,94.268293,-13.203400,-13.636400,37.678200,8047,502857030
323,100.000000,31,472,116.340304,95.000,41,94.524590,4.064100,5.701800,35.171100,8455,517403725
324,100.000000,31,472,112.837128,89.000,42,94.681265,26.027000,28.630700,36.252200,9252,596106360
325,100.000000,31,472,117.209507,99.000,43,94.666667,-12.293100,-11.935500,33.450700,9184,611424800
326,100.000000,31,472,117.209507,99.000,43,94.666667,-0.780900,0.000000,33.450700,9184,611424800
327,99.881400,0,15367,133.857937,80.000,990,92.168694,,,13.540500,326504,699588366656
328,99.876900,0,15367,133.174422,80.000,976,92.105018,0.691500,0.380200,13.552100,328254,709276471770
329,99.853100,0,15367,136.516703,80.000,863,91.960594,-13.203400,-13.636400,15.923100,280123,546049926606
330,99.879300,0,15367,125.720623,80.000,868,92.078254,4.064100,5.701800,15.671300,289112,541611723656
331,99.887200,0,15367,122.019090,80.000,940,92.325312,26.027000,28.630700,13.971100,379903,862025360501
332,99.872900,0,15367,124.208035,80.000,932,92.223350,-12.293100,-11.935500,13.760500,329947,676286096907
333,99.872100,0,15367,124.883297,80.000,920,92.272218,-0.780900,0.000000,13.599000,327989,671422018043
334,99.871700,0,15367,125.127578,80.000,919,92.312861,-0.656700,1.098900,13.743600,326678,668043442880
335,99.871100,0,15367,128.474558,80.000,919,92.309935,-0.320200,0.000000,12.437800,324304,677969835552
336,99.870100,0,15367,127.674820,80.000,913,92.289819,-0.895600,-0.362300,12.304300,322592,665085668256
337,99.868000,0,15367,128.234395,80.000,906,92.340566,-1.222200,0.363600,12.225600,318915,649917197415
338,99.864200,0,15367,125.580328,80.000,876,92.360927,-2.534000,0.000000,11.766300,311752,604592188424
339,99.410000,20,2000,92.145071,63.000,227,90.718235,,,13.208800,40911,11433642636
340,99.434100,20,2000,96.218147,64.000,222,91.053120,0.691500,0.380200,13.612100,42449,12918843762
341,99.512400,20,2164,101.740637,65.000,202,90.606735,-13.203400,-13.636400,14.698700,37854,11003135742
342,99.414300,18,2000,95.700164,62.000,208,90.901022,4.064100,5.701800,14.025400,39384,11514463776
343,99.374300,18,2000,91.984831,61.000,213,91.486538,26.027000,28.630700,15.301500,47799,15362359605
344,99.426900,18,2000,94.992635,62.000,211,91.268823,-12.293100,-11.935500,12.289100,42192,12516763104
345,99.429500,18,2000,92.057698,61.000,216,91.278897,-0.780900,0.000000,12.329600,42180,12180951300
346,99.432000,18,2000,91.773088,62.000,212,91.223332,-0.656700,1.098900,12.590700,42284,12227560268
347,99.427100,18,2228,93.072663,62.000,208,91.186681,-0.320200,0.000000,12.412500,41913,12186581967
